"business_id","date","ViolationTypeID","risk_category","description"
19,"20160513",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
19,"20160513",103157,"Low Risk","Food safety certificate or food handler card not available"
19,"20160513",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
19,"20141110",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
19,"20141110",103145,"Low Risk","Improper storage of equipment utensils or linens"
24,"20160311",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
24,"20160311",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
24,"20161005",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
31,"20151204",103157,"Low Risk","Food safety certificate or food handler card not available"
45,"20160104",103118,"Moderate Risk","Employee eating or smoking"
45,"20160104",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
45,"20160104",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
45,"20160104",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
45,"20160104",103142,"Low Risk","Unclean nonfood contact surfaces"
45,"20160104",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
45,"20160104",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
45,"20160614",103131,"Moderate Risk","Moderate risk vermin infestation"
45,"20160614",103133,"Moderate Risk","Foods not protected from contamination"
45,"20160614",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
45,"20160614",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
45,"20160614",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
45,"20170307",103131,"Moderate Risk","Moderate risk vermin infestation"
45,"20170307",103157,"Low Risk","Food safety certificate or food handler card not available"
45,"20170307",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
45,"20170307",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
45,"20170307",103142,"Low Risk","Unclean nonfood contact surfaces"
45,"20170914",103114,"High Risk","High risk vermin infestation"
45,"20170914",103120,"Moderate Risk","Moderate risk food holding temperature "
45,"20170914",103142,"Low Risk","Unclean nonfood contact surfaces"
45,"20170914",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
50,"20160614",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
50,"20160614",103148,"Low Risk","No thermometers or uncalibrated thermometers "
50,"20160614",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
50,"20160614",103121,"Moderate Risk","Inadequate procedures or records for time as a public health control "
50,"20160614",103157,"Low Risk","Food safety certificate or food handler card not available"
50,"20160614",103147,"Low Risk","Inadequate ventilation or lighting"
50,"20160614",103133,"Moderate Risk","Foods not protected from contamination"
54,"20170215",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
54,"20170215",103114,"High Risk","High risk vermin infestation"
54,"20170215",103120,"Moderate Risk","Moderate risk food holding temperature "
56,"20151222",103120,"Moderate Risk","Moderate risk food holding temperature "
56,"20151222",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
56,"20151222",103133,"Moderate Risk","Foods not protected from contamination"
56,"20160802",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
56,"20160802",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
56,"20160802",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
56,"20160802",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
56,"20170420",103156,"Low Risk","Permit license or inspection report not posted"
56,"20170420",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
56,"20170420",103129,"Moderate Risk","Insufficient hot water or running water"
56,"20141117",103156,"Low Risk","Permit license or inspection report not posted"
56,"20170518",103129,"Moderate Risk","Insufficient hot water or running water"
58,"20160407",103161,"Low Risk","Low risk vermin infestation"
58,"20160407",103148,"Low Risk","No thermometers or uncalibrated thermometers "
